Timestamp(ms),Current(uA)
63710,73186.883
63720,74748.953
63730,72706.047
63740,58714.184
63750,75861.055
63760,83126.672
63770,90987.492
63780,87946.797
63790,93301.289
63800,88417.766
63810,86270.492
63820,98922.117
63830,108883.227
63840,107047.844
63850,102104.828
63860,100195.484
63870,99359.102
63880,101503.359
63890,102322.313
63900,101684.891
63910,94941.625
63920,98159.320
63930,100259.242
63940,98364.352
63950,105902.680
63960,110260.594
63970,109417.734
63980,108428.125
63990,108102.883
64000,108393.297
64010,101851.086
64020,101390.320
64030,100964.977
64040,108408.016
64050,102447.914
64060,99602.680
64070,107288.008
64080,113790.031
64090,115565.383
64100,116723.969
64110,116956.773
64120,117290.344
64130,117138.961
64140,117608.211
64150,117724.930
64160,117908.797
64170,117591.156
64180,118910.484
64190,117977.711
64200,118027.516
64210,117782.414
64220,117902.234
64230,117581.719
64240,117759.531
64250,117473.719
64260,117754.227
64270,117519.172
64280,117666.898
64290,117546.898
64300,117976.727
64310,117662.016
64320,117519.266
64330,117083.055
64340,117494.422
64350,117280.359
64360,117751.430
64370,117548.102
64380,117903.359
64390,117466.938
64400,117228.203
64410,117221.133
64420,117551.125
64430,117249.633
64440,117596.242
64450,117159.680
64460,117566.602
64470,117263.797
64480,117439.828
64490,117353.031
64500,117486.625
64510,117196.789
64520,117423.000
64530,116913.438
64540,116662.086
64550,116936.398
64560,117414.742
64570,116345.945
64580,115856.461
64590,116783.297
64600,116975.367
64610,116975.969
64620,117270.313
64630,117078.117
64640,117314.453
64650,117247.227
64660,117672.492
64670,117594.891
64680,117613.508
64690,118262.875
64700,117973.977
64710,117656.047
64720,117836.750
64730,117583.117
64740,117744.266
64750,117513.719
64760,117720.750
64770,117612.047
64780,117754.008
64790,117297.242
64800,117732.109
64810,117784.203
64820,117998.641
64830,117360.758
64840,117490.039
64850,117641.688
64860,117923.242
64870,117850.602
64880,118088.555
64890,117947.578
64900,117962.305
64910,117571.711
64920,118093.539
64930,117811.172
64940,118035.469
64950,117798.125
64960,117874.289
64970,117579.766
64980,117833.078
64990,117630.688
65000,117746.531
65010,117549.914
65020,117691.109
65030,117353.898
65040,117142.547
65050,116861.688
65060,117570.828
65070,117426.898
65080,114507.102
65090,44928.176
65100,17781.295
65110,7808.465
65120,4606.320
65130,4742.871
65140,6277.078
65150,8049.383
65160,6867.391
65170,5723.735
65180,5035.986
65190,4563.347
65200,4268.452
65210,4094.163
65220,3997.820
65230,3945.731
65240,3924.352
65250,3929.281
65260,3962.254
65270,4023.076
65280,4082.045
65290,4136.863
65300,4187.370
65310,4311.998
65320,4211.649
65330,4259.834
65340,4202.325
65350,4139.279
65360,4107.797
65370,4095.890
65380,4087.898
65390,4083.412
65400,4075.794
65410,4075.655
65420,4077.329
65430,4077.191
65440,4078.714
65450,4072.290
65460,4067.938
65470,4068.397
65480,4069.960
65490,4073.644
65500,4077.526
65510,4080.860
65520,4078.568
65530,4072.562
65540,4070.045
65550,4067.070
65560,4066.665
65570,4066.051
65580,4065.501
65590,4066.741
65600,4067.750
65610,4071.944
65620,4073.505
65630,4075.569
65640,4078.811
65650,4082.126
65660,4085.668
65670,4083.682
65680,4078.945
65690,4080.389
65700,4076.616
65710,4073.002
65720,4071.703
65730,4068.100
65740,4067.123
65750,4065.347
65760,4066.508
65770,4067.754
65780,4065.496
65790,4071.388
65800,4066.712
65810,4070.022
65820,4067.101
65830,4065.422
65840,4068.519
65850,4064.998
65860,4066.811
65870,4067.303
65880,4066.217
65890,4064.978
65900,4060.516
65910,4062.511
65920,4063.178
65930,4061.913
65940,4063.308
65950,4059.996
65960,4061.422
65970,4062.937
65980,4062.979
65990,4067.031
66000,4065.075
66010,4065.011
66020,4065.904
66030,4063.656
66040,4067.813
66050,4069.688
66060,4070.934
66070,4073.967
66080,4072.486
66090,4073.040
66100,4071.105
66110,4073.075
66120,4070.294
66130,4068.201
66140,4071.203
66150,4071.256
66160,4069.032
66170,4068.275
66180,4066.327
66190,4069.440
66200,4065.964
66210,4072.093
66220,4069.394
66230,4065.805
66240,4070.376
66250,4071.567
66260,4073.182
66270,4067.186
66280,4064.362
66290,4065.740
66300,4058.125
66310,4055.426
66320,4058.967
66330,4058.978
66340,4061.173
66350,4062.420
66360,4062.659
66370,4060.102
66380,4054.815
66390,4055.194
66400,4052.381
66410,4054.992
66420,4057.784
66430,4058.117
66440,4060.192
66450,4060.711
66460,4065.497
66470,4066.035
66480,4064.068
66490,4069.320
66500,4069.575
66510,4070.736
66520,4068.953
66530,4064.982
66540,4068.061
66550,4064.410
66560,4061.865
66570,4061.431
66580,4060.377
66590,4062.246
66600,4061.350
66610,4064.314
66620,4064.076
66630,4060.740
66640,4063.159
66650,4061.265
66660,4064.140
66670,4062.531
66680,4061.660
66690,4065.848
66700,4068.180
66710,4069.660
66720,4067.406
66730,4065.967
66740,4064.352
66750,4062.588
66760,4060.200
66770,4058.460
66780,4057.354
66790,4062.514
66800,4059.577
66810,4057.826
66820,4056.783
66830,4054.884
66840,4058.565
66850,4055.763
66860,4057.327
66870,4055.132
66880,4056.291
66890,4063.128
66900,4061.068
66910,4057.734
66920,4057.750
66930,4055.270
66940,4057.385
66950,4059.782
66960,4060.368
66970,4062.275
66980,4063.223
66990,4062.298
67000,4060.230
67010,4063.278
67020,4063.263
67030,4062.003
67040,4062.875
67050,4058.646
